feature,importance
route_id,0.2889925375530551
stop_id,0.1484726082329672
hour,0.14022771351841956
time_point_order,0.12002520630650845
point_type,0.07118652065612989
day_of_year,0.04237457667006209
weekday,0.027169730720016903
air_temp_c,0.027124428159576598
month,0.0219997687091249
rel_humidity_pct,0.021389112684450193
is_weekend,0.014174300128692276
direction_id,0.013276544431516536
season,0.011595211852416874
pressure_hpa,0.011406470692090909
weather_condition,0.00849724391780879
wind_dir_deg,0.006986638739959471
is_holiday,0.006770910064951043
wind_speed_kmh,0.006215952989330453
cloud_cover,0.0044757202011020455
is_school_in_session,0.0044047647653346405
precip_mm,0.002554343427362374
rainy_rush_hour,0.0006796955791236355
